"kind","id","expected","actual","passed"
"schema","AI01","True","True","True"
"schema","AI02","False","False","True"
"schema","AI03","False","False","True"
"grounding","G01","True","True","True"
"grounding","G02","False","False","True"
"grounding","G03","False","False","True"
"grounding","G04","True","True","True"
"conflict","C01","dueDate","dueDate","True"
"conflict","C02",,,"True"
"image_fixture","IMG01","True","True","True"
"image_fixture","IMG02","True","True","True"
"image_fixture","IMG03","True","True","True"
"image_fixture","IMG04","True","True","True"
"image_fixture","IMG05","True","True","True"
"audio_fixture","AUD01","True","True","True"
"audio_fixture","AUD02","True","True","True"
"audio_fixture","AUD03","True","True","True"
