"id","scenarioName","expected","correct","structureRate","detectedItems","privacyWarnings"
"S01","고혈압 복약 및 재방문","4","4","100","5","0"
"S02","당뇨 검사 준비","3","3","100","5","0"
"S03","정형외과 통증 관리","4","4","100","5","0"
"S04","내시경 금식","3","3","100","6","0"
"S05","혈액검사","3","2","66.67","5","0"
"S06","만성질환 정기 외래","4","4","100","4","0"
"S07","약 복용 시간 변경 확인","3","3","100","3","0"
"S08","재활치료 일정","3","3","100","4","0"
"S09","CT 검사 준비","3","3","100","4","0"
"S10","MRI 검사 준비","3","3","100","5","0"
"S11","수술 후 주의사항","4","3","75","4","0"
"S12","피부과 재방문","3","3","100","3","0"
"S13","안과 검사","4","4","100","5","0"
"S14","치과 치료 후 주의사항","3","3","100","4","0"
"S15","여러 약 복용","3","3","100","5","0"
"S16","보호자 질문 필요 사례","2","2","100","4","0"
"S17","복수 일정 사례","4","3","75","5","0"
"S18","개인정보 유사 패턴 포함 경고","2","2","100","3","2"
"S19","다중 범주 혼합 문장","4","4","100","6","0"
"S20","모호한 표현 포함 사례","4","4","100","5","0"
